Nome	CPF	Salário	salario
Bruno	42324089840	 R$ 10.000,00 	 R$ 1.000,00 
Jefferson	42324089841	 R$ 10.020,00 	 R$ 1.010,00 
Marco	42324089842	 R$ 10.040,00 	 R$ 1.020,00 
Vivian	42324089843	 R$ 10.060,00 	 R$ 1.030,00 
Mirella	42324089844	 R$ 10.080,00 	 R$ 1.040,00 
Jefferson	42324089845	 R$ 10.100,00 	 R$ 1.050,00 
Marcelo	42324089846	 R$ 10.120,00 	 R$ 1.060,00 
Jose	42324089847	 R$ 10.140,00 	 R$ 1.070,00 
Rosangela	42324089848	 R$ 10.160,00 	 R$ 1.080,00 
Marcio	42324089849	 R$ 10.180,00 	 R$ 1.090,00 
Daniella	42324089850	 R$ 10.200,00 	 R$ 1.100,00 
Ivana	42324089851	 R$ 10.220,00 	 R$ 1.110,00 
Luiz	42324089852	 R$ 10.240,00 	 R$ 1.120,00 
Milene	42324089853	 R$ 10.260,00 	 R$ 1.130,00 
Paulo	42324089854	 R$ 10.280,00 	 R$ 1.140,00 
Ozelangela	42324089855	 R$ 10.300,00 	 R$ 1.150,00 
Jefferson	42324089856	 R$ 10.320,00 	 R$ 1.160,00 
Kleber	42324089857	 R$ 10.340,00 	 R$ 1.170,00 
Solange	42324089858	 R$ 10.360,00 	 R$ 1.180,00 
Denise	42324089859	 R$ 10.380,00 	 R$ 1.190,00 
Patricia	42324089860	 R$ 10.400,00 	 R$ 1.200,00 
Telma	42324089861	 R$ 10.420,00 	 R$ 1.210,00 
Luciane	42324089862	 R$ 10.440,00 	 R$ 1.220,00 
Rosana	42324089863	 R$ 10.460,00 	 R$ 1.230,00 
Luciano	42324089864	 R$ 10.480,00 	 R$ 1.240,00 
Luciano	42324089865	 R$ 10.500,00 	 R$ 1.250,00 
Marcus	42324089866	 R$ 10.520,00 	 R$ 1.260,00 
Carlos	42324089867	 R$ 10.540,00 	 R$ 1.270,00 
Sandra	42324089868	 R$ 10.560,00 	 R$ 1.280,00 
Leandro	42324089869	 R$ 10.580,00 	 R$ 1.290,00 
Michele	42324089870	 R$ 10.600,00 	 R$ 1.300,00 
Rejane	42324089871	 R$ 10.620,00 	 R$ 1.310,00 
Paulo	42324089872	 R$ 10.640,00 	 R$ 1.320,00 
Debora	42324089873	 R$ 10.660,00 	 R$ 1.330,00 
Danielly	42324089874	 R$ 10.680,00 	 R$ 1.340,00 
Ramon	42324089875	 R$ 10.700,00 	 R$ 1.350,00 
Danie	42324089876	 R$ 10.720,00 	 R$ 1.360,00 
Fernanda	42324089877	 R$ 10.740,00 	 R$ 1.370,00 
Thais	42324089878	 R$ 10.760,00 	 R$ 1.380,00 
Thais	42324089879	 R$ 10.780,00 	 R$ 1.390,00 
Edson	42324089880	 R$ 10.800,00 	 R$ 1.400,00 
Elaine	42324089881	 R$ 10.820,00 	 R$ 1.410,00 
Adriano	42324089882	 R$ 10.840,00 	 R$ 1.420,00 
Marcio	42324089883	 R$ 10.860,00 	 R$ 1.430,00 
Paula	42324089884	 R$ 10.880,00 	 R$ 1.440,00 
Marcelo	42324089885	 R$ 10.900,00 	 R$ 1.450,00 
Vinicius	42324089886	 R$ 10.920,00 	 R$ 1.460,00 
Marcelo	42324089887	 R$ 10.940,00 	 R$ 1.470,00 
Andressa	42324089888	 R$ 10.960,00 	 R$ 1.480,00 
Bruno	42324089801	 R$ 10.980,00 	 R$ 1.490,00 
Jefferson	42324089802	 R$ 11.000,00 	 R$ 1.500,00 
Marco	42324089803	 R$ 11.020,00 	 R$ 1.510,00 
Vivian	42324089804	 R$ 11.040,00 	 R$ 1.520,00 
Mirella	42324089805	 R$ 11.060,00 	 R$ 1.530,00 
Jefferson	42324089806	 R$ 11.080,00 	 R$ 1.540,00 
Marcelo	42324089807	 R$ 11.100,00 	 R$ 1.550,00 
Jose	42324089808	 R$ 11.120,00 	 R$ 1.560,00 
Rosangela	42324089809	 R$ 11.140,00 	 R$ 1.570,00 
Marcio	42324089810	 R$ 11.160,00 	 R$ 1.580,00 
Daniella	42324089811	 R$ 11.180,00 	 R$ 1.590,00 
Ivana	42324089812	 R$ 11.200,00 	 R$ 1.600,00 
Luiz	42324089813	 R$ 11.220,00 	 R$ 1.610,00 
Milene	42324089814	 R$ 11.240,00 	 R$ 1.620,00 
Paulo	42324089815	 R$ 11.260,00 	 R$ 1.630,00 
Ozelangela	42324089816	 R$ 11.280,00 	 R$ 1.640,00 
Jefferson	42324089817	 R$ 11.300,00 	 R$ 1.650,00 
Kleber	42324089818	 R$ 11.320,00 	 R$ 1.660,00 
Solange	42324089819	 R$ 11.340,00 	 R$ 1.670,00 
Denise	42324089820	 R$ 11.360,00 	 R$ 1.680,00 
Patricia	42324089821	 R$ 11.380,00 	 R$ 1.690,00 
Telma	42324089822	 R$ 11.400,00 	 R$ 1.700,00 
Luciane	42324089823	 R$ 11.420,00 	 R$ 1.710,00 
Rosana	42324089824	 R$ 11.440,00 	 R$ 1.720,00 
Luciano	42324089825	 R$ 11.460,00 	 R$ 1.730,00 
Luciano	42324089826	 R$ 11.480,00 	 R$ 1.740,00 
Marcus	42324089827	 R$ 11.500,00 	 R$ 1.750,00 
Carlos	42324089828	 R$ 11.520,00 	 R$ 1.760,00 
Sandra	42324089829	 R$ 11.540,00 	 R$ 1.770,00 
